Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
11337,2:01.60,,Lwisa MSYANI JOHN,18 MAY 1980,TAN,3,,Torino (ITA),1999-06-24,1134,1999,121.6
11337,2:01.60,,Patrizia SPURI,18 FEB 1973,ITA,10,,"Stadio Olimpico, Roma (ITA)",1999-07-07,1134,1999,121.6
11337,2:01.60,,Nédia SEMEDO,14 NOV 1978,POR,1,,Braga (POR),2001-07-04,1134,2001,121.6
11337,2:01.60,,Mardrea HYMAN,22 DEC 1972,JAM,1,,Padova (ITA),2002-09-01,1134,2002,121.6
11337,2:01.60,,Tatyana ANDRIANOVA,10 DEC 1979,RUS,1,,Moskva (RUS) (i),2004-02-18,1159,2004,121.6
11337,2:01.60,,Svetlana KLYUKA,27 DEC 1978,RUS,5f2,,Kazan (RUS),2004-07-09,1134,2004,121.6
11337,2:01.60,,Monika GRADZKI-MERL,21 SEP 1979,GER,3f3,,Heusden-Zolder (BEL),2004-07-31,1134,2004,121.6
11337,2:01.60,,Monika GRADZKI-MERL,21 SEP 1979,GER,1,,Arnhem (NED),2005-06-22,1134,2005,121.6
11337,2:01.60,,Frances SANTIN,27 JUL 1980,USA,10,,Stockholm (SWE),2005-07-26,1134,2005,121.6
11337,2:01.60,,Rosibel GARCÍA,13 FEB 1981,COL,3sf2,,Rio de Janeiro (BRA),2007-07-23,1134,2007,121.6
11337,2:01.60,,Charlotte BEST,07 MAR 1985,GBR,6,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2008-07-01,1134,2008,121.6
11337,2:01.60,,Tatyana DUDCHENKO,18 NOV 1983,RUS,3f3,,Tula (RUS),2008-07-05,1134,2008,121.6
11337,2:01.60,,Treniere MOSER,27 OCT 1981,USA,1f1,,"Atlanta, GA (USA)",2010-05-15,1134,2010,121.6
11337,2:01.60,,Janeth JEPKOSGEI,13 DEC 1983,KEN,8,,"International Stadium, Gateshead (GBR)",2010-07-10,1134,2010,121.6
11337,2:01.60,,Angelika CICHOCKA,15 MAR 1988,POL,1,,Bydgoszcz (POL),2011-06-03,1134,2011,121.6
11337,2:01.60,,Corinna HARRER,19 JAN 1991,GER,1f2,,Regensburg (GER),2012-06-02,1134,2012,121.6
11337,2:01.60,,Liliya LOBANOVA,14 OCT 1985,UKR,2sf2,,"Olympiastadion, Helsinki (FIN)",2012-06-28,1134,2012,121.6
11337,2:01.60,,Selah BUSIENEI,27 DEC 1991,KEN,8,,Nairobi (KEN),2013-06-22,1134,2013,121.6
11337,2:01.60,,Zoe BUCKMAN,21 DEC 1988,AUS,5,,Lignano Sabbiadoro (ITA),2013-07-16,1134,2013,121.6
11337,2:01.60,,Angelika CICHOCKA,15 MAR 1988,POL,1,,"National Indoor Arena, Birmingham (GBR) (i)",2014-02-15,1159,2014,121.6
11337,2:01.60,,Angelika CICHOCKA,15 MAR 1988,POL,10,,"Mestský Stadion, Ostrava (CZE)",2014-06-17,1134,2014,121.6
11337,2:01.60,,Vanya STAMBOLOVA,28 NOV 1983,BUL,2h4,,"Letzigrund, Zürich (SUI)",2014-08-13,1134,2014,121.6
11337,2:01.60,,Habitam ALEMU,09 JUL 1997,ETH,1f1,,Kessel-Lo (BEL),2015-08-08,1134,2015,121.6
11337,2:01.60,,Kokeb TESFAYE,05 MAY 1997,ETH,1,,Leuven (BEL),2015-08-08,1134,2015,121.6
11337,2:01.60,,Rénelle LAMOTE,26 DEC 1993,FRA,1h1,,"Olympisch Stadion, Amsterdam (NED)",2016-07-06,1134,2016,121.6
11337,2:01.60,,Halimah NAKAAYI,16 OCT 1994,UGA,2,,Baku (AZE),2017-05-17,1134,2017,121.6
11337,2:01.60,,Noélie YARIGO,26 DEC 1985,BEN,3,,Andújar (ESP),2017-06-02,1134,2017,121.6
11337,2:01.60,,Ajee' WILSON,08 MAY 1994,USA,1,,"Albuquerque, NM (USA) (i)",2018-02-18,1159,2018,121.6
11337,2:01.60,,Anzhelika SHEVCHENKO,29 OCT 1987,UKR,,,Kazan (RUS),2018-07-20,1134,2018,121.6
11337,2:01.60,,Morgan MITCHELL,03 OCT 1994,AUS,3,,Sydney (AUS),2019-04-07,1134,2019,121.6
11337,2:01.60,,Sara KUIVISTO,17 AUG 1991,FIN,2,,"x-bionic sphere, Šamorín (SVK)",2020-09-11,1134,2020,121.6
11337,2:01.60,,Alexandra BELL,04 NOV 1992,GBR,1,,"Golęcin Stadion, Poznan (POL)",2020-09-11,1134,2020,121.6
11337,2:01.60,,Claudia HOLLINGSWORTH,12 APR 2005,AUS,3,,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",2021-03-27,1134,2021,121.6
11337,2:01.60,,Julia RIZK,14 JUN 1996,USA,1,,"Our Lady of Good Counsel HS, Olney, MD (USA)",2021-06-12,1134,2021,121.6
11337,2:01.60,,Cinthia ANAIS,18 JAN 1988,FRA,7,,"Utilita Arena Birmingham, Birmingham (GBR) (i)",2022-02-19,1159,2022,121.6
11337,2:01.60,,Anita HORVAT,07 SEP 1996,SLO,2,,"Centro Sportivo Fontanassa, Savona (ITA)",2022-05-18,1134,2022,121.6
11337,2:01.60,,Sadi HENDERSON,12 APR 1996,USA,8f1,,"Jack Kemp Stadium, Los Angeles, CA (USA)",2022-07-15,1134,2022,121.6
11337,2:01.60,,Prudence SEKGODISO,05 JAN 2002,RSA,4h5,,"Hayward Field, Eugene, OR (USA)",2022-07-21,1134,2022,121.6
11337,2:01.60,,Carley THOMAS,26 DEC 2000,AUS,4f1,,"Tooting Bec Athletics Track, London (GBR)",2023-07-26,1134,2023,121.6
11337,2:01.60,,Sophia GORRIARAN,20 JUN 2005,USA,3f3,,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",2024-04-19,1134,2024,121.6
11337,2:01.60,,McKenna KEEGAN,31 AUG 1998,USA,1,,"Munster Technological University Track, Cork (IRL)",2024-07-09,1134,2024,121.6
11391,2:01.61,,Zoya RIGEL,15 OCT 1952,URS,2,,Budapest (HUN),1978-06-12,1134,1978,121.61
11391,2:01.61,,Dörte BEHRENDT,12 JAN 1962,GDR,6,,Erfurt (GER),1984-06-02,1134,1984,121.61
11391,2:01.61,,Yuliana MARINOVA,24 JUL 1967,BUL,3,,Ostrava (TCH),1987-06-10,1134,1987,121.61
11391,2:01.61,,Ute SCHMIDT,30 JAN 1965,GDR,3f2,,Karl Marx Stadt (GDR),1987-06-21,1134,1987,121.61
11391,2:01.61,,Olga NELYUBOVA,12 JUL 1964,URS,2,,"Budapest Sportcsarnok, Budapest (HUN) (i)",1988-03-06,1159,1988,121.61
11391,2:01.61,,Liliya NURUTDINOVA,15 DEC 1963,URS,4,,Bucureşti (ROU),1988-06-19,1134,1988,121.61
11391,2:01.61,,Joetta CLARK,01 AUG 1962,USA,4,,Koblenz (GER),1989-08-23,1134,1989,121.61
11391,2:01.61,,Ana Fidelia QUIROT,23 MAR 1963,CUB,2,,Rieti (ITA),1995-09-05,1134,1995,121.61
11391,2:01.61,,Malin EWERLÖF,02 JUN 1972,SWE,4h4,,"Olympic Stadium, Atlanta, GA (USA)",1996-07-26,1134,1996,121.61
11391,2:01.61,,Stephanie GRAF,26 APR 1973,AUT,1,,Villach (AUT),1997-07-05,1134,1997,121.61
11391,2:01.61,,Julia SAKARA,12 JUL 1969,ZIM,1,,Kassel (GER),1998-06-03,1134,1998,121.61
11391,2:01.61,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,h,,Dakar (SEN),1998-08-19,1134,1998,121.61
11391,2:01.61,,Irina MISTYUKEVICH,17 JUN 1977,RUS,11,,"Stadio Olimpico, Roma (ITA)",1999-07-07,1134,1999,121.61
11391,2:01.61,,Tatyana LISNICHENKO,28 MAR 1966,RUS,6,,Milano (ITA),2000-06-07,1134,2000,121.61
11391,2:01.61,,Irina KRAKOVIAK,16 NOV 1977,LTU,1,,Kaunas (LTU),2000-07-08,1134,2000,121.61
11391,2:01.61,,Margaret CROWLEY,24 MAY 1967,AUS,1,,Brisbane (AUS),2000-07-22,1134,2000,121.61
11391,2:01.61,,Brigita LANGERHOLC,23 JUL 1976,SLO,1,,"Eugene, OR (USA)",2001-06-01,1134,2001,121.61
11391,2:01.61,,Virginie FOUQUET,09 SEP 1975,FRA,2,,Strasbourg (FRA),2001-06-19,1134,2001,121.61
11391,2:01.61,,Agnes SAMARIA,11 AUG 1972,NAM,1,,"Schleyer Halle, Stuttgart (GER) (i)",2003-02-02,1159,2003,121.61
11391,2:01.61,,Svetlana KLYUKA,27 DEC 1978,RUS,4sf3,,"Stade de France, Paris-St-Denis (FRA)",2003-08-24,1134,2003,121.61
11391,2:01.61,,Esther DESVIAT,27 JAN 1982,ESP,3,,Moskva (RUS),2004-05-29,1134,2004,121.61
11391,2:01.61,,Letitia VRIESDE,05 OCT 1964,SUR,6,,"FBK Stadium, Hengelo (NED)",2004-05-31,1134,2004,121.61
11391,2:01.61,,Sandra STALS,05 JUN 1975,BEL,4,,Stockholm (SWE) (i),2005-02-15,1159,2005,121.61
11391,2:01.61,,Maryam Yusuf JAMAL,16 SEP 1984,BRN,1h1,,Bern (SUI),2005-07-02,1134,2005,121.61
11391,2:01.61,,Marilyn OKORO,23 SEP 1984,GBR,1,,Cuxhaven (GER),2006-07-07,1134,2006,121.61
11391,2:01.61,,Chanelle PRICE,22 AUG 1990,USA,6,,"Eugene, OR (USA)",2008-06-08,1134,2008,121.61
11391,2:01.61,,Aleksandra UVAROVA,04 MAY 1988,RUS,2,,Kazan (RUS),2009-06-17,1134,2009,121.61
11391,2:01.61,,Geena GALL,18 JAN 1987,USA,4,,Heusden-Zolder (BEL),2009-07-18,1134,2009,121.61
11391,2:01.61,,Yevgeniya ZOLOTOVA,28 APR 1983,RUS,6,,Cheboksary (RUS),2009-07-24,1134,2009,121.61
11391,2:01.61,,Tintu LUKA,26 APR 1989,IND,1,,Kochi (IND),2010-05-16,1134,2010,121.61
11391,2:01.61,,Marian BURNETT,22 FEB 1976,GUY,2,,Bottrop (GER),2010-07-09,1134,2010,121.61
11391,2:01.61,,Irene ALFONSO,06 FEB 1981,ESP,7h3,,"Estadio Olímpico, Barcelona (ESP)",2010-07-27,1134,2010,121.61
11391,2:01.61,,Linda MARGUET,11 SEP 1983,FRA,2,,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",2011-03-06,1159,2011,121.61
11391,2:01.61,,Jana HARTMANN,23 MAY 1981,GER,5f1,,"Moratalaz, Madrid (ESP)",2011-07-09,1134,2011,121.61
11391,2:01.61,,Sylivia Chematui CHESEBE,17 MAY 1987,KEN,4,,Nairobi (KEN),2011-07-16,1134,2011,121.61
11391,2:01.61,,Olga SOLDATOVA,08 SEP 1985,RUS,6,,Sochi (RUS),2012-05-27,1134,2012,121.61
11391,2:01.61,,Jessica SMITH,11 OCT 1989,CAN,3sf2,,"Central Stadium, Kazan (RUS)",2013-07-08,1134,2013,121.61
11391,2:01.61,,Yekaterina POISTOGOVA,01 MAR 1991,RUS,2h1,,"Letzigrund, Zürich (SUI)",2014-08-13,1134,2014,121.61
11391,2:01.61,,Joanna JÓŹWIK,30 JAN 1991,POL,3h4,,"Letzigrund, Zürich (SUI)",2014-08-13,1134,2014,121.61
11391,2:01.61,,Chrishuna WILLIAMS,31 MAR 1993,USA,1f1,,"Palo Alto, CA (USA)",2015-05-02,1134,2015,121.61
11391,2:01.61,,Fabienne KOHLMANN,06 NOV 1989,GER,1,,Dessau (GER),2015-05-29,1134,2015,121.61
11391,2:01.61,,Svetlana ULOGA,23 NOV 1986,RUS,1f5,,Yerino (RUS),2015-07-10,1134,2015,121.61
11391,2:01.61,,Tatyana VINOGRADOVA,09 DEC 1988,RUS,2h2,,Cheboksary (RUS),2015-08-03,1134,2015,121.61
11391,2:01.61,,Tatyana VINOGRADOVA,09 DEC 1988,RUS,2,,Cheboksary (RUS),2015-08-04,1134,2015,121.61
11391,2:01.61,,Jennifer MEADOWS,17 APR 1981,GBR,3,,Toruń (POL) (i),2016-02-12,1159,2016,121.61
11391,2:01.61,,Esther GUERRERO,07 FEB 1990,ESP,2f1,,Oordegem (BEL),2016-05-29,1134,2016,121.61
11391,2:01.61,,Alexa EFRAIMSON,20 FEB 1997,USA,1,,Liège (BEL),2017-07-19,1134,2017,121.61
11391,2:01.61,,Cecilia BAROWSKI,07 DEC 1992,USA,2f1,,"Boston, MA (USA) (i)",2018-02-25,1159,2018,121.61
11391,2:01.61,,Cory Ann MCGEE,29 MAY 1992,USA,2f2,,"Concord, MA (USA)",2018-06-07,1134,2018,121.61
11391,2:01.61,,Jenna WESTAWAY,19 JUN 1994,CAN,2,,Ottawa (CAN),2018-07-08,1134,2018,121.61
11391,2:01.61,,Claire MOONEY,21 JUN 1992,IRL,2f4,,Heusden-Zolder (BEL),2018-07-21,1134,2018,121.61
11391,2:01.61,,Hanna GREEN,16 OCT 1994,USA,1f1,,"Palo Alto, CA (USA)",2019-05-02,1134,2019,121.61
11391,2:01.61,,Hedda HYNNE,13 MAR 1990,NOR,3,,Sopot (POL),2019-06-23,1134,2019,121.61
11391,2:01.61,,Madeleine KELLY,28 DEC 1995,CAN,2,,"Memphis, TN (USA)",2019-08-10,1134,2019,121.61
11391,2:01.61,,Chanelle PRICE,22 AUG 1990,USA,2f2,,"Irvine, CA (USA)",2021-05-15,1134,2021,121.61
11391,2:01.61,,Ksanet ALEM,27 JUN 2004,ETH,3f1,,Castellón (ESP),2022-06-16,1134,2022,121.61
11391,2:01.61,,Naomi KORIR,01 SEP 1998,KEN,5h4,,"Hayward Field, Eugene, OR (USA)",2022-07-21,1134,2022,121.61
11391,2:01.61,,Emily RICHARDS,21 JUL 1995,USA,3,,"McLeod Stadium, Langley (CAN)",2023-07-14,1134,2023,121.61
11391,2:01.61,,Allie WILSON,31 MAR 1996,USA,1,,"Armory Track&Field Center, New York, NY (USA) (i)",2024-02-11,1159,2024,121.61
11391,2:01.61,,Tigist GIRMA,07 NOV 2002,ETH,3,,"Gallur, Madrid (ESP) (i)",2024-02-23,1159,2024,121.61
11391,2:01.61,,Annemarie NISSEN,08 JUL 1994,DEN,7,,"Stade des Grands Pêchers, Montreuil (FRA)",2024-05-16,1134,2024,121.61
11391,2:01.61,,McKenna KEEGAN,31 AUG 1998,USA,7,,"Drake Stadium, Los Angeles, CA (USA)",2024-05-18,1134,2024,121.61
11453,2:01.62,,Mariana SUMAN,29 JUL 1951,ROU,5sf2,,"Stadion Evžena Rošického, Praha (TCH)",1978-08-30,1133,1978,121.62
11453,2:01.62,,Nadezhda ZABOLOTNEVA,05 AUG 1961,URS,1,,Volgograd (URS) (i),1987-01-31,1159,1987,121.62
11453,2:01.62,,Mary BURZMINSKI,12 NOV 1960,CAN,4h4,,"Stadio Olimpico, Roma (ITA)",1987-08-29,1133,1987,121.62
11453,2:01.62,,Rosa COLORADO,13 MAY 1954,ESP,3,,Madrid (ESP),1988-06-07,1133,1988,121.62
11453,2:01.62,,Julie JENKINS,12 AUG 1964,USA,5,,"Indianapolis, IN (USA)",1988-07-18,1133,1988,121.62
11453,2:01.62,,Essie WASHINGTON,12 JAN 1957,USA,3,,San José (USA),1989-05-27,1133,1989,121.62
11453,2:01.62,,Tudorita CHIDU,17 OCT 1967,ROU,1h2,,"Poljud Stadion, Split (CRO)",1990-08-27,1133,1990,121.62
11453,2:01.62,,Malin EWERLÖF,02 JUN 1972,SWE,1,,Réduit (MRI),1996-09-21,1133,1996,121.62
11453,2:01.62,,Anita BRÄGGER,06 OCT 1972,SUI,1,,Genève (SUI),1997-06-28,1133,1997,121.62
11453,2:01.62,,Diane MODAHL-EDWARDS,17 JUN 1966,GBR,4,,Malmö (SWE),1997-08-20,1133,1997,121.62
11453,2:01.62,,Ludmila FORMANOVÁ,02 JAN 1974,CZE,1,,"Stadion Rošický, Praha (CZE)",1998-06-08,1133,1998,121.62
11453,2:01.62,,Monica LUNDGREN,12 JAN 1973,SWE,6,,Malmö (SWE),1998-08-03,1133,1998,121.62
11453,2:01.62,,Olena BUZHENKO-SERGEYEVA,16 NOV 1972,UKR,11,,"Olympiastadion, Berlin (GER)",1999-09-07,1133,1999,121.62
11453,2:01.62,,Joetta CLARK,01 AUG 1962,USA,5,,"Eugene, OR (USA)",2000-06-24,1133,2000,121.62
11453,2:01.62,,Linda KISABAKA,09 APR 1969,GER,2,,Luzern (SUI),2000-06-27,1133,2000,121.62
11453,2:01.62,,Ivonne TEICHMANN,11 APR 1977,GER,2,,Karlsruhe (GER) (i),2002-01-25,1159,2002,121.62
11453,2:01.62,,Natalya KHRUSHCHELYOVA,20 MAY 1973,RUS,3h,,Moskva (RUS) (i),2003-02-26,1159,2003,121.62
11453,2:01.62,,Michelle BALLENTINE,31 AUG 1975,JAM,1,,"Palo Alto, CA (USA)",2003-06-07,1133,2003,121.62
11453,2:01.62,,Kelly HOLMES,19 APR 1970,GBR,1h3,,Manchester (GBR),2004-07-10,1133,2004,121.62
11453,2:01.62,,Natalya TSYGANOVA,07 FEB 1971,RUS,3,,"Palacio de Deportes, Madrid (ESP) (i)",2005-03-06,1159,2005,121.62
11453,2:01.62,,Diane CUMMINS,19 JAN 1974,CAN,4,,Villeneuve d'Ascq (FRA),2005-06-12,1133,2005,121.62
11453,2:01.62,,Svetlana KLYUKA,27 DEC 1978,RUS,1sf2,,Izmir (TUR),2005-08-19,1133,2005,121.62
11453,2:01.62,,Rosibel GARCÍA,13 FEB 1981,COL,1,,Ponce (PUR),2006-05-27,1133,2006,121.62
11453,2:01.62,,Tamara TVERDOSTUP,17 JUL 1979,UKR,3,,Kyiv (UKR),2006-06-15,1133,2006,121.62
11453,2:01.62,,Lucia KLOCOVÁ,20 NOV 1983,SVK,1,,Vaasa (FIN),2007-06-23,1133,2007,121.62
11453,2:01.62,,Elisa CUSMA,24 JUL 1981,ITA,1h1,,"Velódromo Luis Puig, Valencia (ESP) (i)",2008-03-07,1159,2008,121.62
11453,2:01.62,,Ewelina SĘTOWSKA-DRYK,05 MAR 1980,POL,1,,"Wattenscheid, Bochum (GER)",2008-08-01,1133,2008,121.62
11453,2:01.62,,Jennifer MEADOWS,17 APR 1981,GBR,2,,Birmingham (GBR),2009-07-12,1133,2009,121.62
11453,2:01.62,,Halima HACHLAF,06 SEP 1988,MAR,2,,Tanger (MAR),2009-07-12,1133,2009,121.62
11453,2:01.62,,Anastasiya VOLODKINA,15 JUL 1988,RUS,3f3,,Moskva (RUS),2010-06-07,1133,2010,121.62
11453,2:01.62,,Yvonne HAK,30 JUN 1986,NED,1f1,,Hoorn (NED),2011-05-21,1133,2011,121.62
11453,2:01.62,,Tatyana DUDCHENKO,18 NOV 1983,RUS,1h3,,Moskva (RUS) (i),2012-02-22,1159,2012,121.62
11453,2:01.62,,Yekaterina KUPINA,02 FEB 1986,RUS,6,,"Moratalaz, Madrid (ESP)",2012-07-07,1133,2012,121.62
11453,2:01.62,,Kate GRACE,24 OCT 1988,USA,1f2,,"New York, NY (USA)",2013-06-11,1133,2013,121.62
11453,2:01.62,,Shannon LEINERT,30 JUN 1987,USA,3,,St. Louis (USA),2015-06-04,1133,2015,121.62
11453,2:01.62,,Marina ARZAMASOVA,17 DEC 1987,BLR,4f2,,Sopot (POL),2015-06-27,1133,2015,121.62
11453,2:01.62,,Joanna JÓŹWIK,30 JAN 1991,POL,2h5,,"National Stadium, Beijing (CHN)",2015-08-26,1133,2015,121.62
11453,2:01.62,,Esther GUERRERO,07 FEB 1990,ESP,5sf2,,"Olympisch Stadion, Amsterdam (NED)",2016-07-07,1133,2016,121.62
11453,2:01.62,,Alexandra BELL,04 NOV 1992,GBR,7,,"Olympic Stadium, London (GBR)",2016-07-23,1133,2016,121.62
11453,2:01.62,,Santa TKHAKUR,23 APR 1993,RUS,4f3,,Yerino (RUS),2017-07-15,1133,2017,121.62
11453,2:01.62,,Sabrina SOUTHERLAND,18 DEC 1995,USA,8,,"Drake Stadium, Des Moines, IA (USA)",2018-06-24,1133,2018,121.62
11453,2:01.62,,Justine FEDRONIC,11 MAY 1991,FRA,3f4,,Heusden-Zolder (BEL),2018-07-21,1133,2018,121.62
11453,2:01.62,,Samantha MURPHY,18 MAR 1992,CAN,3f1,,"Portland, OR (USA)",2019-07-19,1133,2019,121.62
11453,2:01.62,,Christina HERING,09 OCT 1994,GER,1,,"Eintracht-Stadion, Braunschweig (GER)",2020-08-09,1133,2020,121.62
11453,2:01.62,,Noélie YARIGO,26 DEC 1985,BEN,7,,"Stade des Grands Pêchers, Montreuil (FRA)",2021-06-01,1133,2021,121.62
11453,2:01.62,,Claudia SAUNDERS,19 MAY 1994,FRA,1,,"Prince George's Sports and Learning Complex, Landover, MD (USA)",2023-06-15,1133,2023,121.62
11453,2:01.62,,Oratile NOWE,20 MAY 2000,BOT,7h4,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-23,1133,2023,121.62
11453,2:01.62,,Natalіia KROL,11 SEP 1994,UKR,7h7,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-23,1133,2023,121.62
11453,2:01.62,,Lorea IBARZABAL,07 NOV 1994,ESP,4,,"Gallur, Madrid (ESP) (i)",2024-02-23,1159,2024,121.62
11453,2:01.62,,Oratile NOWE,20 MAY 2000,BOT,5,,"University of Ghana Sports Stadium, Accra (GHA)",2024-03-19,1133,2024,121.62
11453,2:01.62,,Berenice CLEYET-MERLE,24 OCT 1994,FRA,2f1,,"Stade Raymond Troussier, Decines (FRA)",2024-05-04,1133,2024,121.62
11453,2:01.62,,Anaïs BOURGOIN,03 OCT 1996,FRA,4,,"Stade Delort, Marseille (FRA)",2024-05-22,1133,2024,121.62
11453,2:01.62,,Charline MATHIAS,23 MAY 1992,LUX,1f1,,"Boudewijnstadion, Bruxelles (BEL)",2024-05-25,1133,2024,121.62
11453,2:01.62,,Valery TOBIAS,24 SEP 2000,USA,3f1,,"Lincoln HS, Portland, OR (USA)",2024-06-09,1133,2024,121.62
11507,2:01.63,,Gabriella DORIO,26 JUN 1957,ITA,3h2,,"Olympic Stadium, Montréal (CAN)",1976-07-23,1133,1976,121.63
11507,2:01.63,,Nadezhda OLIZARENKO,28 NOV 1953,URS,2sf2,,"Stadio Olimpico, Roma (ITA)",1987-08-30,1133,1987,121.63
11507,2:01.63,,Tatyana GREBENCHUK,22 NOV 1962,URS,3,,"Sporthal Houtrust, Den Haag (NED) (i)",1989-02-19,1159,1989,121.63
11507,2:01.63,,Sharron POWELL,16 JUL 1965,JAM,2,,Saarijärvi (FIN),1989-06-24,1133,1989,121.63
11507,2:01.63,,Lyubov GURINA,06 AUG 1957,URS,1,,"Kelvin Hall, Glasgow (GBR) (i)",1990-03-04,1159,1990,121.63
11507,2:01.63,,Liliya NURUTDINOVA,15 DEC 1963,URS,2h2,,"Poljud Stadion, Split (CRO)",1990-08-27,1133,1990,121.63
11507,2:01.63,,Charmaine CROOKS,08 AUG 1962,CAN,3sf2,,"Palacio de los Deportes, Sevilla (ESP) (i)",1991-03-09,1159,1991,121.63
11507,2:01.63,,Laura ITCOU,13 FEB 1972,ROU,3,,Budapest (HUN) (i),1996-01-27,1159,1996,121.63
11507,2:01.63,,Alisa HILL-HARVEY,16 SEP 1965,USA,1,,"Boston, MA (USA) (i)",1996-02-18,1159,1996,121.63
11507,2:01.63,,Suzy FAVOR HAMILTON,08 AUG 1968,USA,2,,"Portland, OR (USA)",1996-05-12,1133,1996,121.63
11507,2:01.63,,Amy WICKUS,25 JUN 1972,USA,8,,"Atlanta, GA (USA)",1996-06-17,1133,1996,121.63
11507,2:01.63,,Natalya DUKHNOVA,16 JUL 1966,BLR,3,,Sheffield (GBR),1997-06-29,1133,1997,121.63
11507,2:01.63,,Ana Amelia MENÉNDEZ,17 MAR 1972,ESP,4,,Catania (ITA),1997-08-29,1133,1997,121.63
11507,2:01.63,,Ana Amelia MENÉNDEZ,17 MAR 1972,ESP,6h2,,"Népstadion, Budapest (HUN)",1998-08-18,1133,1998,121.63
11507,2:01.63,,Lwisa MSYANI JOHN,18 MAY 1980,TAN,sf,,Kuala Lumpur (MAS),1998-09-18,1133,1998,121.63
11507,2:01.63,,Yuliya TARANOVA,15 FEB 1977,RUS,h,,Moskva (RUS),1999-06-04,1133,1999,121.63
11507,2:01.63,,Patrizia SPURI,18 FEB 1973,ITA,4,,Torino (ITA),1999-06-24,1133,1999,121.63
11507,2:01.63,,Natalya TSYGANOVA,07 FEB 1971,RUS,2,,Stuttgart (GER) (i),2000-02-06,1159,2000,121.63
11507,2:01.63,,Yuliya KOSENKOVA,28 MAR 1973,RUS,5,,Chania (GRE),2000-06-14,1133,2000,121.63
11507,2:01.63,,Linda KISABAKA,09 APR 1969,GER,h,,Braunschweig (GER),2000-07-29,1133,2000,121.63
11507,2:01.63,,Oksana ZBROZHEK,12 JAN 1978,RUS,3h3,,Tula (RUS),2001-07-14,1133,2001,121.63
11507,2:01.63,,Svetlana CHERKASOVA,20 MAY 1978,RUS,1,,Tallinn (EST),2002-07-21,1133,2002,121.63
11507,2:01.63,,Natalya KHRUSHCHELYOVA,20 MAY 1973,RUS,1,,Tula (RUS),2003-06-01,1133,2003,121.63
11507,2:01.63,,Mayte MARTÍNEZ,17 MAY 1976,ESP,3,,"Stadio Luigi Ridolfi, Firenze (ITA)",2003-06-21,1133,2003,121.63
11507,2:01.63,,Virginie FOUQUET,09 SEP 1975,FRA,4,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2004-06-19,1133,2004,121.63
11507,2:01.63,,Luciana de Paula MENDES,26 JUL 1971,BRA,4,,"Stadion Juliska, Praha (CZE)",2004-06-28,1133,2004,121.63
11507,2:01.63,,Tatyana ANDRIANOVA,10 DEC 1979,RUS,3,,Sochi (RUS),2005-05-27,1133,2005,121.63
11507,2:01.63,,Lucia KLOCOVÁ,20 NOV 1983,SVK,4h4,,"Olympiastadion, Helsinki (FIN)",2005-08-06,1133,2005,121.63
11507,2:01.63,,Larisa CHZHAO,04 FEB 1971,RUS,5,,"Stade Louis II, Monaco (MON)",2005-09-10,1133,2005,121.63
11507,2:01.63,,Natallia KAREIVA,14 NOV 1985,BLR,1,,"Stadion Rošický, Praha (CZE)",2006-06-17,1133,2006,121.63
11507,2:01.63,,Elisa CUSMA,24 JUL 1981,ITA,6,,"Stadio Quercia, Rovereto (ITA)",2006-08-30,1133,2006,121.63
11507,2:01.63,,Juliana Paula GOMEZ,12 JUL 1983,BRA,1,,São Paulo (BRA),2006-09-22,1133,2006,121.63
11507,2:01.63,,Teodora KOLAROVA,29 MAY 1981,BUL,2,,Kalamata (GRE),2007-06-02,1133,2007,121.63
11507,2:01.63,,Tetyana PETLYUK,22 FEB 1982,UKR,1,,Düsseldorf (GER) (i),2008-02-08,1159,2008,121.63
11507,2:01.63,,Kameisha BENNETT,13 JAN 1981,USA,1,,Tanger (MAR),2008-07-13,1133,2008,121.63
11507,2:01.63,,Madeleine PAPE,24 FEB 1984,AUS,2,,Naimette-Xhovémont (BEL),2008-07-16,1133,2008,121.63
11507,2:01.63,,Irene ALFONSO,06 FEB 1981,ESP,9,,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",2009-06-20,1133,2009,121.63
11507,2:01.63,,Kenia SINCLAIR,14 JUL 1980,JAM,1,,Kingston (JAM),2009-06-28,1133,2009,121.63
11507,2:01.63,,Zulia CALATAYUD,09 NOV 1979,CUB,1,,La Habana (CUB),2009-07-05,1133,2009,121.63
11507,2:01.63,,Emma JACKSON,07 JUN 1988,GBR,1h2,,New Delhi (IND),2010-10-10,1133,2010,121.63
11507,2:01.63,,Margarita MUKASHEVA,04 JAN 1986,KAZ,1,,Jiaxing (CHN),2011-05-22,1133,2011,121.63
